Project,Cluster
Django_,Cluster negativo
FFmpeg_,Cluster negativo
Firefox_,Cluster negativo
GitLab_,Cluster negativo
iPython_,Cluster negativo
LibreOffice_,Cluster negativo
LLVM_,Cluster negativo
Mesa_,Cluster negativo
Python_,Cluster negativo
Vagrant_,Cluster negativo
AngularJs_,Cluster neutro
Bitcoin_,Cluster neutro
Blender_,Cluster neutro
Emacs_,Cluster neutro
Git_,Cluster neutro
Gstreamer_,Cluster neutro
Nodejs_,Cluster neutro
QEMU_,Cluster neutro
Rails_,Cluster neutro
Salt_,Cluster neutro
U-boot_,Cluster neutro
