Project,Cluster
AngularJS_,Cluster negativo
Django_,Cluster negativo
Gstreamer_,Cluster negativo
iPython_,Cluster negativo
LLVM_,Cluster negativo
Nodejs_,Cluster negativo
Rails_,Cluster negativo
Bitcoin_,Cluster neutro
Blender_,Cluster neutro
Emacs_,Cluster neutro
FFmpeg_,Cluster neutro
Firefox_,Cluster neutro
GitLab_,Cluster neutro
Git_,Cluster neutro
LibreOffice_,Cluster neutro
Mesa_,Cluster neutro
Python_,Cluster neutro
QEMU_,Cluster neutro
Salt_,Cluster neutro
U-boot_,Cluster neutro
Vagrant_,Cluster neutro
